storage/path,storage/name,storage/read_only,printer/state,printer/temp_bed,printer/target_bed,printer/temp_nozzle,printer/target_nozzle,printer/axis_z,printer/axis_x,printer/axis_y,printer/flow,printer/speed,printer/fan_hotend,printer/fan_print,timestamp,job/id,job/progress,job/time_remaining,job/time_printing,filename,shape,transfer/id,transfer/time_transferring,transfer/progress,transfer/transferred
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7807,0,2025-02-26 10:11:51,86,1,11880,447,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7797,0,2025-02-26 10:11:56,86,1,11880,452,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7822,0,2025-02-26 10:12:01,86,1,11880,457,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7800,0,2025-02-26 10:12:06,86,1,11880,462,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7811,0,2025-02-26 10:12:11,86,1,11880,467,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7797,0,2025-02-26 10:12:16,86,1,11880,472,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7799,0,2025-02-26 10:12:21,86,2,11880,477,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7778,0,2025-02-26 10:12:26,86,2,11820,482,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7798,0,2025-02-26 10:12:31,86,2,11820,487,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7796,0,2025-02-26 10:12:36,86,2,11820,492,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7819,0,2025-02-26 10:12:41,86,2,11820,497,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7801,0,2025-02-26 10:12:46,86,2,11820,502,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7811,0,2025-02-26 10:12:51,86,2,11820,507,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7788,0,2025-02-26 10:12:56,86,2,11820,512,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7799,0,2025-02-26 10:13:01,86,2,11820,517,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7808,0,2025-02-26 10:13:06,86,2,11820,522,,,,,,
/usb/,usb,false,PRINTING,60,60,229.8,230,0.2,,,100,100,7803,0,2025-02-26 10:13:11,86,2,11820,527,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7800,0,2025-02-26 10:13:16,86,2,11820,532,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7819,0,2025-02-26 10:13:21,86,2,11820,537,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230,230,0.2,,,100,100,7800,0,2025-02-26 10:13:26,86,2,11760,542,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7788,0,2025-02-26 10:13:31,86,2,11760,548,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7788,0,2025-02-26 10:13:36,86,2,11760,552,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7807,0,2025-02-26 10:13:41,86,2,11760,558,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7801,0,2025-02-26 10:13:46,86,2,11760,563,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7791,0,2025-02-26 10:13:51,86,2,11760,568,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7821,0,2025-02-26 10:13:56,86,2,11760,573,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7834,0,2025-02-26 10:14:01,86,2,11760,578,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7793,0,2025-02-26 10:14:06,86,2,11760,583,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7799,0,2025-02-26 10:14:11,86,2,11760,588,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7811,0,2025-02-26 10:14:16,86,2,11760,593,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7803,0,2025-02-26 10:14:21,86,2,11760,598,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7825,0,2025-02-26 10:14:26,86,3,11700,603,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7826,0,2025-02-26 10:14:31,86,3,11700,608,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7826,0,2025-02-26 10:14:36,86,3,11700,613,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7828,0,2025-02-26 10:14:41,86,3,11700,618,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7827,0,2025-02-26 10:14:46,86,3,11700,623,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230.2,230,0.2,,,100,100,7818,0,2025-02-26 10:14:51,86,3,11700,628,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7815,0,2025-02-26 10:14:56,86,3,11700,633,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7826,0,2025-02-26 10:15:01,86,3,11700,638,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7807,0,2025-02-26 10:15:06,86,3,11700,643,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7825,0,2025-02-26 10:15:11,86,3,11700,648,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7810,0,2025-02-26 10:15:16,86,3,11700,653,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230,230,0.2,,,100,100,7800,0,2025-02-26 10:15:21,86,3,11700,658,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230.1,230,0.2,,,100,100,7805,0,2025-02-26 10:15:26,86,3,11640,663,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7814,0,2025-02-26 10:15:31,86,3,11640,668,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7815,0,2025-02-26 10:15:36,86,3,11640,673,,,,,,
/usb/,usb,false,PRINTING,60,60,230.1,230,0.2,,,100,100,7815,0,2025-02-26 10:15:41,86,3,11640,678,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7788,0,2025-02-26 10:15:46,86,3,11640,683,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7824,0,2025-02-26 10:15:51,86,3,11640,688,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230.1,230,0.2,,,100,100,7822,0,2025-02-26 10:15:56,86,3,11640,693,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230,230,0.2,,,100,100,7812,0,2025-02-26 10:16:01,86,3,11640,698,,,,,,
/usb/,usb,false,PRINTING,60.2,60,230.1,230,0.2,,,100,100,7819,0,2025-02-26 10:16:06,86,3,11640,703,,,,,,
/usb/,usb,false,PRINTING,60.2,60,230,230,0.2,,,100,100,7809,0,2025-02-26 10:16:11,86,3,11640,708,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7811,0,2025-02-26 10:16:16,86,3,11640,713,,,,,,
/usb/,usb,false,PRINTING,60.2,60,230,230,0.2,,,100,100,7817,0,2025-02-26 10:16:21,86,3,11640,718,,,,,,
/usb/,usb,false,PRINTING,60.1,60,230.1,230,0.2,,,100,100,7804,0,2025-02-26 10:16:26,86,4,11580,723,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7828,0,2025-02-26 10:16:31,86,4,11580,728,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230,230,0.2,,,100,100,7829,0,2025-02-26 10:16:36,86,4,11580,733,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230,230,0.2,,,100,100,7813,0,2025-02-26 10:16:42,86,4,11580,738,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230.1,230,0.2,,,100,100,7803,0,2025-02-26 10:16:47,86,4,11580,743,,,,,,
/usb/,usb,false,PRINTING,59.9,60,230.2,230,0.8,,,100,100,7828,911,2025-02-26 10:16:52,86,4,11580,748,,,,,,
/usb/,usb,false,PRINTING,59.9,60,224.7,220,0.4,,,100,100,7799,3907,2025-02-26 10:16:57,86,4,11580,753,,,,,,
